sigunguCd,bjdongCd,dong_name,bun,useYm,useQty_kwh
11110,10100,서울특별시 종로구 청운동,0005,202601,1105.0
11110,10100,서울특별시 종로구 청운동,0006,202601,1023.0
11110,10100,서울특별시 종로구 청운동,0012,202601,92.0
11110,10100,서울특별시 종로구 청운동,0034,202601,859.0
11110,10100,서울특별시 종로구 청운동,0065,202601,2965.0
11110,10100,서울특별시 종로구 청운동,0066,202601,4064.0
11110,10100,서울특별시 종로구 청운동,0069,202601,5675.0
11110,10100,서울특별시 종로구 청운동,0072,202601,4807.0
11110,10100,서울특별시 종로구 청운동,0089,202601,3.0
11110,10100,서울특별시 종로구 청운동,0093,202601,587.0
11110,10100,서울특별시 종로구 청운동,0103,202601,650.0
11110,10100,서울특별시 종로구 청운동,0120,202601,271.0
11110,10100,서울특별시 종로구 청운동,0121,202601,3057.0
11110,10100,서울특별시 종로구 청운동,0123,202601,20101.0
11110,10100,서울특별시 종로구 청운동,0129,202601,76.0
11110,10200,서울특별시 종로구 신교동,0031,202601,587.0
11110,10200,서울특별시 종로구 신교동,0045,202601,870.0
11110,10200,서울특별시 종로구 신교동,0052,202601,6419.0
11110,10200,서울특별시 종로구 신교동,0057,202601,12975.0
11110,10200,서울특별시 종로구 신교동,0059,202601,23291.0
11110,10200,서울특별시 종로구 신교동,0066,202601,58740.0
11110,10200,서울특별시 종로구 신교동,0078,202601,1.0
11110,10500,서울특별시 종로구 창성동,0099,202601,1371.0
11110,10500,서울특별시 종로구 창성동,0116,202601,289.0
11110,10500,서울특별시 종로구 창성동,0120,202601,2916.0
11110,10500,서울특별시 종로구 창성동,0128,202601,2391.0
11110,10500,서울특별시 종로구 창성동,0131,202601,7733.0
11110,10500,서울특별시 종로구 창성동,0134,202601,3595.0
11110,10500,서울특별시 종로구 창성동,0135,202601,1445.0
11110,10500,서울특별시 종로구 창성동,0136,202601,3591.0
11110,10500,서울특별시 종로구 창성동,0140,202601,10086.0
11110,10500,서울특별시 종로구 창성동,0148,202601,1665.0
11110,10500,서울특별시 종로구 창성동,0149,202601,4.0
11110,10500,서울특별시 종로구 창성동,0154,202601,2279.0
11110,10500,서울특별시 종로구 창성동,0160,202601,5891.0
11110,10600,서울특별시 종로구 통의동,0006,202601,10824.0
11110,10600,서울특별시 종로구 통의동,0012,202601,6257.0
11110,10600,서울특별시 종로구 통의동,0013,202601,2766.0
11110,10600,서울특별시 종로구 통의동,0015,202601,148.0
11110,10600,서울특별시 종로구 통의동,0017,202601,1395.0
11110,10600,서울특별시 종로구 통의동,0018,202601,2972.0
11110,10600,서울특별시 종로구 통의동,0023,202601,3434.0
11110,10600,서울특별시 종로구 통의동,0025,202601,477.0
11110,10600,서울특별시 종로구 통의동,0027,202601,1242.0
11110,10600,서울특별시 종로구 통의동,0032,202601,4616.0
11110,10600,서울특별시 종로구 통의동,0033,202601,2169.0
11110,10600,서울특별시 종로구 통의동,0047,202601,8244.0
11110,10600,서울특별시 종로구 통의동,0052,202601,3756.0
11110,10600,서울특별시 종로구 통의동,0059,202601,3493.0
11110,10600,서울특별시 종로구 통의동,0082,202601,724.0
11110,10600,서울특별시 종로구 통의동,0092,202601,7271.0
11110,10600,서울특별시 종로구 통의동,0102,202601,20431.0
11110,10600,서울특별시 종로구 통의동,0104,202601,4287.0
11110,10600,서울특별시 종로구 통의동,0105,202601,6703.0
11110,10600,서울특별시 종로구 통의동,0108,202601,11913.0
11110,10700,서울특별시 종로구 적선동,0001,202601,1392.0
11110,10700,서울특별시 종로구 적선동,0011,202601,9636.0
11110,10700,서울특별시 종로구 적선동,0019,202601,6547.0
11110,10700,서울특별시 종로구 적선동,0020,202601,10461.0
11110,10700,서울특별시 종로구 적선동,0021,202601,4648.0
11110,10700,서울특별시 종로구 적선동,0022,202601,2322.0
11110,10700,서울특별시 종로구 적선동,0023,202601,2595.0
11110,10700,서울특별시 종로구 적선동,0024,202601,664.0
11110,10700,서울특별시 종로구 적선동,0025,202601,6672.0
11110,10700,서울특별시 종로구 적선동,0026,202601,3293.0
11110,10700,서울특별시 종로구 적선동,0027,202601,2383.0
11110,10700,서울특별시 종로구 적선동,0029,202601,14614.0
11110,10700,서울특별시 종로구 적선동,0094,202601,19840.0
11110,10700,서울특별시 종로구 적선동,0096,202601,2974.0
11110,10700,서울특별시 종로구 적선동,0097,202601,10769.0
11110,10700,서울특별시 종로구 적선동,0098,202601,11623.0
11110,10900,서울특별시 종로구 누상동,0025,202601,243.0
11110,10900,서울특별시 종로구 누상동,0035,202601,288.0
11110,10900,서울특별시 종로구 누상동,0041,202601,572.0
11110,10900,서울특별시 종로구 누상동,0050,202601,519.0
11110,10900,서울특별시 종로구 누상동,0052,202601,1462.0
11110,10900,서울특별시 종로구 누상동,0075,202601,274.0
11110,10900,서울특별시 종로구 누상동,0095,202601,1647.0
11110,11000,서울특별시 종로구 누하동,0041,202601,968.0
11110,11000,서울특별시 종로구 누하동,0064,202601,22306.0
11110,11000,서울특별시 종로구 누하동,0100,202601,5046.0
11110,11000,서울특별시 종로구 누하동,0102,202601,370.0
11110,11000,서울특별시 종로구 누하동,0104,202601,2157.0
11110,11000,서울특별시 종로구 누하동,0107,202601,666.0
11110,11000,서울특별시 종로구 누하동,0124,202601,3463.0
11110,11000,서울특별시 종로구 누하동,0145,202601,2280.0
11110,11000,서울특별시 종로구 누하동,0152,202601,2889.0
11110,11000,서울특별시 종로구 누하동,0153,202601,4541.0
11110,11000,서울특별시 종로구 누하동,0176,202601,1024.0
11110,11000,서울특별시 종로구 누하동,0188,202601,2472.0
11110,11000,서울특별시 종로구 누하동,0191,202601,3774.0
11110,11100,서울특별시 종로구 옥인동,0005,202601,761.0
11110,11100,서울특별시 종로구 옥인동,0016,202601,2301.0
